#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
1,USA,"29,744,652",,"538,628",,"20,449,634","8,756,390","12,882","89,503","1,621","370,637,295","1,115,266","332,330,903"
2,India,"11,246,380","+1,756","157,985",+19,"10,899,394","189,001","8,944","8,095",114,"222,716,796","160,312","1,389,271,622"
3,Brazil,"11,055,480",,"266,614",,"9,782,320","1,006,546","8,318","51,760","1,248","28,600,000","133,900","213,592,800"
4,Russia,"4,342,474","+9,445","89,809",+336,"3,932,177","320,488","2,300","29,748",615,"113,700,000","778,888","145,977,387"
5,UK,"4,223,232",,"124,566",,"3,278,629","820,037","1,542","61,988","1,828","96,520,517","1,416,709","68,130,111"
6,France,"3,909,560",,"88,933",,"266,096","3,554,531","3,849","59,804","1,360","55,376,298","847,088","65,372,513"
7,Spain,"3,160,970",,"71,436",,"2,810,929","278,605","2,471","67,589","1,527","40,292,390","861,552","46,767,201"
8,Italy,"3,081,368",,"100,103",,"2,508,732","472,533","2,700","51,015","1,657","42,527,529","704,089","60,400,789"
9,Turkey,"2,793,632",,"29,094",,"2,632,030","132,508","1,239","32,882",342,"34,262,280","403,282","84,958,667"
10,Germany,"2,513,768",,"72,698",,"2,319,600","121,470","2,848","29,937",866,"45,114,160","537,281","83,967,493"
11,Colombia,"2,278,861",,"60,598",,"2,180,777","37,486","1,982","44,463","1,182","11,748,990","229,234","51,253,184"
12,Argentina,"2,154,694",,"53,121",,"1,951,540","150,033","3,484","47,378","1,168","7,749,005","170,386","45,479,138"
13,Mexico,"2,130,477","+1,877","190,923",+319,"1,675,996","263,558","4,798","16,406","1,470","5,626,739","43,330","129,857,710"
14,Poland,"1,811,036","+9,954","45,599",+282,"1,503,353","262,084","1,837","47,888","1,206","10,328,276","273,104","37,818,158"
15,Iran,"1,706,559","+8,554","60,867",+81,"1,456,759","188,933","3,811","20,142",718,"11,274,630","133,071","84,726,197"
16,South Africa,"1,521,706",,"50,803",,"1,442,045","28,858",546,"25,439",849,"9,269,122","154,953","59,818,751"
